PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Age_filled,Age_by_class,Has_Cabin,Title,FamilySize,IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U
1,False,3,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,7.25,,22.0,22.0,0,Mr,2,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
2,True,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,71.2833,C85,38.0,38.0,1,Mrs,2,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False
3,True,3,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,7.925,,26.0,26.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
4,True,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,53.1,C123,35.0,35.0,1,Mrs,2,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False
5,False,3,"Allen, Mr. William Henry",35.0,0,0,373450,8.05,,35.0,35.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
6,False,3,"Moran, Mr. James",,0,0,330877,8.4583,,28.0,24.0,0,Mr,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
7,False,1,"McCarthy, Mr. Timothy J",54.0,0,0,17463,51.8625,E46,54.0,54.0,1,Mr,1,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False
8,False,3,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,21.075,,2.0,2.0,0,Master,5,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
9,True,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,11.1333,,27.0,27.0,0,Mrs,3,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
10,True,2,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,30.0708,,14.0,14.0,0,Mrs,2,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True
11,True,3,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,16.7,G6,4.0,4.0,1,Miss,3,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False
12,True,1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,26.55,C103,58.0,58.0,1,Miss,1,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False
13,False,3,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,8.05,,20.0,20.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
14,False,3,"Andersson, Mr. Anders Johan",39.0,1,5,347082,31.275,,39.0,39.0,0,Mr,7,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
15,False,3,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,7.8542,,14.0,14.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
